STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	513.7386	335.2286	1899.8571	290.4541	165.8339	1178.139	70	3	1	0	10
2	856.2371	271.4264	2189.731	630.2257	145.4766	1748.2078	197	3	1	0	24
3	456.7455	319.6136	2217.4545	255.1769	218.0644	1696.8664	44	3	1	0	8
4	478.8989	300.6379	2024.8391	300.54	171.6409	1675.0425	174	3	1	0	25
5	760.9321	301.027	2267.7303	633.21	153.986	1877.3376	445	3	1	0	57
6	376.8581	306.6667	2307.6022	193.21	217.2632	1746.1524	93	3	1	0	17
7	504.0851	319.6443	2154.8792	291.2889	175.8488	1704.2859	298	3	1	0	44
8	919.9394	284.0157	2219.6667	762.8911	154.2359	1775.8443	447	3	1	0	58
9	921.7592	289.0447	2263.2105	758.42	166.98	1841.9662	380	3	1	0	53
