STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	143.8606	297.9927	2154.9024	127.0885	166.8494	1649.2948	410	1	1	0	120
2	104.2576	297.6659	2166.8382	96.455	165.1755	1732.248	865	1	1	0	243
3	109.2254	302.7119	2186.4327	93.7612	170.641	1719.138	788	1	1	0	228
4	132.1854	290.3229	2215.9663	142.2308	162.1	1764.8009	1248	1	1	0	363
5	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	109
6	84.5055	290.364	2271.7544	63.4681	146.2347	1883.6911	228	1	1	0	56
7	147.2929	300.9967	2226.5322	152.171	168.9795	1748.514	1197	1	1	0	365
8	234.9279	302.1608	2045.2057	323.3808	172.8456	1643.7792	423	1	1	0	169
9	128.793	296.8709	2172.3153	118.9373	167.8911	1738.8368	945	1	1	0	276
10	203.5239	301.394	2271.262	250.8246	158.5421	1841.9291	500	1	1	0	169
11	70.623	258.8205	1717.0513	53.9234	149.2983	1148.8191	39	1	1	0	10
12	248.8893	295.2453	2252.934	328.2081	176.1854	1675.1465	212	1	1	0	86
