STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	132.7608	284.4829	2184.9625	145.0725	164.2693	1700.6961	613	1	1	0	181
2	128.9419	302.0189	2179.5442	117.8	167.6931	1750.3114	1268	1	1	0	368
3	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	110
4	74.449	292.3148	2336.5093	49.0625	151.8215	2043.5987	108	1	1	0	27
5	112.8999	294.4747	2224.3823	104.9101	165.9067	1747.7242	790	1	1	0	224
6	125.5936	299.107	2187.5577	116.0419	164.2631	1760.3737	710	1	1	0	202
7	153.737	299.9183	2239.9973	160.7369	168.8625	1823.487	747	1	1	0	230
8	234.9279	302.1608	2045.2057	323.3808	172.8456	1643.7792	423	1	1	0	170
9	100.5876	296.4256	2134.2053	83.8909	161.978	1669.2234	531	1	1	0	145
10	144.8028	298.4601	2219.8472	160.7852	165.5897	1652.7919	602	1	1	0	183
11	203.6511	303.2868	2217.3876	254.0184	159.7141	1825.7364	387	1	1	0	133
12	121.732	292.9806	2193.9224	137.5327	165.3652	1730.7864	464	1	1	0	137
13	248.8893	295.2453	2252.934	328.2081	176.1854	1675.1465	212	1	1	0	87
1	142.0762	375.3333	3031.9524	70.6122	240.943	1748.418	21	2	1	0	5
2	221.932	302.1892	2128.6577	143.4175	146.3033	2093.5761	111	2	1	0	22
3	287.0445	302.6399	2171.4386	194.9064	169.2423	1702.2048	1172	2	1	0	314
4	309.6983	297.9142	2089.0019	236.4191	165.2936	1703.5916	536	2	1	0	175
5	552.7446	303.6458	2206.9808	566.4504	171.7678	1705.2334	1039	2	1	0	809
6	149.6861	336.6452	1789.9032	84.5566	156.4428	1548.7823	31	2	1	0	5
7	203.8824	325.7596	2173.1971	121.413	192.3167	1498.3863	208	2	1	0	35
8	336.641	316.7098	2127.7566	239.0575	175.5784	1692.9858	641	2	1	0	211
9	560.7755	297.6888	2197.5089	564.4947	167.6582	1785.2585	845	2	1	0	656
10	196.9197	301.6944	2276.1574	120.6412	163.2958	1765.697	216	2	1	0	36
11	263.4139	304.5498	2146.6222	173.0903	181.6597	1688.9173	442	2	1	0	106
12	344.11	316.4626	2197.2284	239.6082	170.8249	1774.0947	521	2	1	0	172
13	210.212	294.7976	2372.5357	130.6495	173.5184	2022.393	84	2	1	0	16
14	202.8356	275.531	2125.2389	122.489	177.1689	1743.4128	113	2	1	0	20
15	321.106	311.3377	2112.8262	242.5886	183.8325	1875.2458	305	2	1	0	102
16	563.2125	298.2746	2227.7612	497.028	156.2228	1713.3628	335	2	1	0	229
17	559.2814	299.3116	2168.893	536.2789	169.2234	1687.2946	215	2	1	0	159
1	870.3538	276.7641	2227.3231	622.6726	145.6169	1774.0274	195	3	1	0	24
2	853.367	288.211	2259.6789	735.4939	165.4331	1830.6935	436	3	1	0	60
3	429.2744	304.7791	2352.4767	239.0893	223.0287	1769.7655	86	3	1	0	16
4	478.0046	301.6	2050.6914	299.9121	171.6196	1704.7071	175	3	1	0	25
5	931.8433	296.6467	2292.3533	691.4304	152.0759	1889.0974	300	3	1	0	38
6	357.3922	321.0196	2154.1569	168.3771	207.7406	1656.1157	51	3	1	0	9
7	810.2393	288.6768	2197.4232	722.7292	154.5753	1769.7898	560	3	1	0	72
8	520.4567	325.1855	2097.1362	293.5477	176.4258	1629.8057	345	3	1	0	51
