domainvalue,cv,val
1,1,0.021593230718421
2,1,0.0118872378525486
3,1,0.0469547757831906
1,2,0.00904064929925987
2,2,0.0098590218584218
3,2,0.0336298086384181
1,3,0.0141434750677707
2,3,0.01126695116348
3,3,0.0445064449679602
