STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	132.7608	284.4829	2184.9625	145.0725	164.2693	1700.6961	613	1	1	0	181
2	128.9419	302.0189	2179.5442	117.8	167.6931	1750.3114	1268	1	1	0	368
3	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	110
4	74.449	292.3148	2336.5093	49.0625	151.8215	2043.5987	108	1	1	0	27
5	112.8999	294.4747	2224.3823	104.9101	165.9067	1747.7242	790	1	1	0	224
6	125.5936	299.107	2187.5577	116.0419	164.2631	1760.3737	710	1	1	0	202
7	153.737	299.9183	2239.9973	160.7369	168.8625	1823.487	747	1	1	0	230
8	234.9279	302.1608	2045.2057	323.3808	172.8456	1643.7792	423	1	1	0	170
9	100.5876	296.4256	2134.2053	83.8909	161.978	1669.2234	531	1	1	0	145
10	144.8028	298.4601	2219.8472	160.7852	165.5897	1652.7919	602	1	1	0	183
11	203.6511	303.2868	2217.3876	254.0184	159.7141	1825.7364	387	1	1	0	133
12	121.732	292.9806	2193.9224	137.5327	165.3652	1730.7864	464	1	1	0	137
13	248.8893	295.2453	2252.934	328.2081	176.1854	1675.1465	212	1	1	0	87
