STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	319.5081	299.5968	2244.5968	218.6269	172.5423	1762.2802	186	2	1	0	56
2	264.0558	307.0136	2250.7989	176.0031	178.2098	1846.9558	368	2	1	0	90
3	333.723	297.4243	2152.1974	247.6752	160.294	1769.308	304	2	1	0	104
4	552.7446	303.6458	2206.9808	566.4504	171.7678	1705.2334	1039	2	1	0	809
5	191.3937	288.6875	2053.0486	117.431	174.7319	1708.9596	144	2	1	0	24
6	199.2988	332.3761	2237.7661	120.9813	194.7603	1561.8554	218	2	1	0	37
7	279.6572	302.089	2098.5698	201.7828	167.2225	1688.6584	809	2	1	0	225
8	336.641	316.7098	2127.7566	239.0575	175.5784	1692.9858	641	2	1	0	211
9	560.7755	297.6888	2197.5089	564.4947	167.6582	1785.2585	845	2	1	0	656
10	169.0172	339.3793	2306.3448	78.8512	111.7546	1869.184	29	2	1	0	5
11	201.2469	295.8503	2271.4759	125.3304	169.1437	1749.0532	187	2	1	0	33
12	260.5154	305.4659	2145.1253	171.9797	183.7568	1680.7477	455	2	1	0	108
13	344.11	316.4626	2197.2284	239.6082	170.8249	1774.0947	521	2	1	0	172
14	321.106	311.3377	2112.8262	242.5886	183.8325	1875.2458	305	2	1	0	102
15	561.6758	298.68	2204.7491	512.733	161.4303	1703.4622	550	2	1	0	388
16	219.0457	287.1408	2423.493	135.9825	156.4364	2115.8474	71	2	1	0	14
17	274.2172	291.9509	2030.5215	169.6336	148.2125	1472.2465	163	2	1	0	38
