STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	90.0601	280.43	2037.385	68.9681	151.7127	1577.3401	200	1	1	0	51
2	98.749	308.4155	2248.8019	85.042	164.6623	1753.1756	207	1	1	0	58
3	127.1321	308.8316	2317.1168	108.0015	169.0462	1880.5746	291	1	1	0	85
4	144.8968	276.8356	2265.7886	175.0245	156.6006	1829.4457	298	1	1	0	89
5	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	108
6	74.449	292.3148	2336.5093	49.0625	151.8215	2043.5987	108	1	1	0	28
7	104.9409	289.7785	2184.5768	99.2158	161.1752	1724.4494	456	1	1	0	126
8	117.5758	300.7324	2171.5422	109.4272	167.6248	1735.5726	1020	1	1	0	295
9	144.941	300.8107	2201.5394	140.3596	171.3151	1809.6593	634	1	1	0	193
10	234.9279	302.1608	2045.2057	323.3808	172.8456	1643.7792	423	1	1	0	169
11	112.7869	299.1452	2158.4537	99.4941	170.7073	1697.2912	723	1	1	0	210
12	131.5408	294.6759	2114.1457	122.8229	165.5893	1714.5045	611	1	1	0	177
13	150.6526	303.4449	2244.2177	158.0627	167.3382	1678.2588	744	1	1	0	227
14	203.6511	303.2868	2217.3876	254.0184	159.7141	1825.7364	387	1	1	0	132
15	135.9029	281.0833	2238.1458	164.2503	160.7007	1692.9947	240	1	1	0	72
16	248.8893	295.2453	2252.934	328.2081	176.1854	1675.1465	212	1	1	0	86
17	145.1238	290.6064	2171.8085	125.7753	159.5533	1659.8543	188	1	1	0	53
18	203.0881	294.9115	2455.7699	239.5639	154.2852	1884.7055	113	1	1	0	37
