STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	90.0601	280.43	2037.385	68.9681	151.7127	1577.3401	200	1	1	0	51
2	98.749	308.4155	2248.8019	85.042	164.6623	1753.1756	207	1	1	0	58
3	127.1321	308.8316	2317.1168	108.0015	169.0462	1880.5746	291	1	1	0	85
4	144.8968	276.8356	2265.7886	175.0245	156.6006	1829.4457	298	1	1	0	89
5	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	108
6	74.449	292.3148	2336.5093	49.0625	151.8215	2043.5987	108	1	1	0	28
7	104.9409	289.7785	2184.5768	99.2158	161.1752	1724.4494	456	1	1	0	126
8	117.5758	300.7324	2171.5422	109.4272	167.6248	1735.5726	1020	1	1	0	295
9	144.941	300.8107	2201.5394	140.3596	171.3151	1809.6593	634	1	1	0	193
10	234.9279	302.1608	2045.2057	323.3808	172.8456	1643.7792	423	1	1	0	169
11	112.7869	299.1452	2158.4537	99.4941	170.7073	1697.2912	723	1	1	0	210
12	131.5408	294.6759	2114.1457	122.8229	165.5893	1714.5045	611	1	1	0	177
13	150.6526	303.4449	2244.2177	158.0627	167.3382	1678.2588	744	1	1	0	227
14	203.6511	303.2868	2217.3876	254.0184	159.7141	1825.7364	387	1	1	0	132
15	135.9029	281.0833	2238.1458	164.2503	160.7007	1692.9947	240	1	1	0	72
16	248.8893	295.2453	2252.934	328.2081	176.1854	1675.1465	212	1	1	0	86
17	145.1238	290.6064	2171.8085	125.7753	159.5533	1659.8543	188	1	1	0	53
18	203.0881	294.9115	2455.7699	239.5639	154.2852	1884.7055	113	1	1	0	37
1	338.4588	316.3427	2162.4135	238.8128	174.3154	1725.518	1173	2	1	0	386
2	231.8244	308.8983	2114.6909	147.6361	168.9638	1647.7734	482	2	1	0	98
3	280.3366	304.0961	2162.4744	200.928	181.7576	1678.9074	489	2	1	0	136
4	331.8086	298.4551	2179.3319	238.5399	162.6859	1779.2521	479	2	1	0	158
5	556.4518	309.5823	2318.0183	557.3121	174.8473	1779.5563	328	2	1	0	252
6	198.3268	290.9386	2170.7544	122.803	174.3107	1837.1645	228	2	1	0	39
7	272.9393	303.9607	2140.4446	186.2458	172.6413	1705.4496	1019	2	1	0	262
8	560.7755	297.6888	2197.5089	564.4947	167.6582	1785.2585	845	2	1	0	657
9	192.8065	309.1416	2333.885	120.0232	168.3868	1804.0972	226	2	1	0	38
10	552.9492	300.5367	2158.8067	562.8354	170.0202	1672.0045	926	2	1	0	717
11	321.106	311.3377	2112.8262	242.5886	183.8325	1875.2458	305	2	1	0	102
12	563.2125	298.2746	2227.7612	497.028	156.2228	1713.3628	335	2	1	0	229
1	533.5274	279.5119	2011.2262	350.7968	169.3883	1674.6673	84	3	1	0	12
2	914.9388	284.4538	2247.8427	732.334	154.1042	1802.8174	833	3	1	0	107
3	456.7455	319.6136	2217.4545	255.1769	218.0644	1696.8664	44	3	1	0	8
4	627.504	299.3363	2201.8027	496.3998	145.608	1856.1265	223	3	1	0	27
5	382.5324	305.1127	2200.9014	191.2228	228.8513	1568.5099	71	3	1	0	14
6	497.6042	318.4494	2288.5696	297.2052	181.7565	1938.1106	158	3	1	0	24
7	493.0745	333.3	2093.0545	278.791	162.5218	1597.7035	110	3	1	0	15
8	902.7316	287.715	2246.9033	753.0764	165.2774	1812.3798	393	3	1	0	54
9	481.222	322.7457	2031.3621	271.0102	174.199	1546.6975	232	3	1	0	34
