STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	533.5274	279.5119	2011.2262	350.7968	169.3883	1674.6673	84	3	1	0	12
2	914.9388	284.4538	2247.8427	732.334	154.1042	1802.8174	833	3	1	0	107
3	456.7455	319.6136	2217.4545	255.1769	218.0644	1696.8664	44	3	1	0	8
4	627.504	299.3363	2201.8027	496.3998	145.608	1856.1265	223	3	1	0	27
5	382.5324	305.1127	2200.9014	191.2228	228.8513	1568.5099	71	3	1	0	14
6	497.6042	318.4494	2288.5696	297.2052	181.7565	1938.1106	158	3	1	0	24
7	493.0745	333.3	2093.0545	278.791	162.5218	1597.7035	110	3	1	0	15
8	902.7316	287.715	2246.9033	753.0764	165.2774	1812.3798	393	3	1	0	54
9	481.222	322.7457	2031.3621	271.0102	174.199	1546.6975	232	3	1	0	34
