STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	144.3834	301.7021	2185.7313	137.308	171.6403	1767.465	856	1	1	0	260
2	121.9475	302.7782	2213.1282	110.2453	166.2275	1783.3642	1186	1	1	0	340
3	128.4883	290.0977	2225.7227	139.9755	169.5448	1748.8781	696	1	1	0	210
4	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	108
5	73.434	283.4286	2172.1633	50.4261	151.8778	1869.0216	147	1	1	0	37
6	103.5056	294.5906	2173.2193	93.2428	163.4428	1702.9865	889	1	1	0	247
7	239.589	299.852	2114.5575	325.0671	173.9983	1657.2155	635	1	1	0	254
8	131.5408	294.6759	2114.1457	122.8229	165.5893	1714.5045	611	1	1	0	177
9	145.7455	295.1918	2249.736	164.4944	164.9108	1681.4954	803	1	1	0	244
10	203.6511	303.2868	2217.3876	254.0184	159.7141	1825.7364	387	1	1	0	132
11	102.0166	299.7558	2169.8895	91.0688	160.2008	1754.1984	344	1	1	0	94
12	145.1238	290.6064	2171.8085	125.7753	159.5533	1659.8543	188	1	1	0	53
13	203.0881	294.9115	2455.7699	239.5639	154.2852	1884.7055	113	1	1	0	37
