STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	468.7003	315.0754	2197.4563	276.9973	177.4734	1849.8839	252	3	1	0	38
2	872.3635	272.0938	2218.3073	630.1225	147.2388	1757.008	192	3	1	0	24
3	456.7455	319.6136	2217.4545	255.1769	218.0644	1696.8664	44	3	1	0	8
4	535.6506	286.5783	2010.0482	352.8061	171.6567	1663.439	83	3	1	0	12
5	689.9981	302.6288	2258.0582	635.5049	156.4518	1850.7885	361	3	1	0	47
6	849.9371	290.0776	2309.9224	568.8806	134.6297	1956.7688	116	3	1	0	13
7	382.5324	305.1127	2200.9014	191.2228	228.8513	1568.5099	71	3	1	0	14
8	891.01	282.6362	2239.9043	755.647	153.7273	1787.0065	470	3	1	0	60
9	523.5432	332.0049	1978.3155	287.5045	173.0544	1369.7148	206	3	1	0	30
10	968.2677	290.5127	2234.0822	766.1554	168.5813	1825.5879	353	3	1	0	50
