STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	144.3834	301.7021	2185.7313	137.308	171.6403	1767.465	856	1	1	0	260
2	121.9475	302.7782	2213.1282	110.2453	166.2275	1783.3642	1186	1	1	0	340
3	128.4883	290.0977	2225.7227	139.9755	169.5448	1748.8781	696	1	1	0	210
4	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	108
5	73.434	283.4286	2172.1633	50.4261	151.8778	1869.0216	147	1	1	0	37
6	103.5056	294.5906	2173.2193	93.2428	163.4428	1702.9865	889	1	1	0	247
7	239.589	299.852	2114.5575	325.0671	173.9983	1657.2155	635	1	1	0	254
8	131.5408	294.6759	2114.1457	122.8229	165.5893	1714.5045	611	1	1	0	177
9	145.7455	295.1918	2249.736	164.4944	164.9108	1681.4954	803	1	1	0	244
10	203.6511	303.2868	2217.3876	254.0184	159.7141	1825.7364	387	1	1	0	132
11	102.0166	299.7558	2169.8895	91.0688	160.2008	1754.1984	344	1	1	0	94
12	145.1238	290.6064	2171.8085	125.7753	159.5533	1659.8543	188	1	1	0	53
13	203.0881	294.9115	2455.7699	239.5639	154.2852	1884.7055	113	1	1	0	37
1	156.7683	324.2381	1984.5238	80.9494	185.6402	1475.1911	42	2	1	0	5
2	215.6453	305.7984	2125.0484	139.4141	159.4952	2030.1258	124	2	1	0	24
3	270.3391	306.2217	2204.3205	177.9494	184.8986	1704.6721	699	2	1	0	171
4	337.6018	311.3029	2164.8678	239.131	170.5874	1744.6626	1641	2	1	0	540
5	559.8679	303.8688	2272.4133	527.7241	165.795	1747.0066	663	2	1	0	481
6	204.095	318.1396	2243.4318	122.3538	179.1587	1699.5144	308	2	1	0	52
7	280.236	303.5095	2135.7123	195.4123	165.3992	1717.9912	577	2	1	0	155
8	556.6834	299.1779	2177.2727	563.6413	168.9033	1727.0764	1771	2	1	0	1372
9	198.6877	294.0613	2260.4065	123.8493	176.1911	1778.8555	310	2	1	0	53
10	276.5668	295.8304	2016.2329	198.714	162.4041	1554.4879	395	2	1	0	108
11	321.106	311.3377	2112.8262	242.5886	183.8325	1875.2458	305	2	1	0	102
1	468.7003	315.0754	2197.4563	276.9973	177.4734	1849.8839	252	3	1	0	38
2	872.3635	272.0938	2218.3073	630.1225	147.2388	1757.008	192	3	1	0	24
3	456.7455	319.6136	2217.4545	255.1769	218.0644	1696.8664	44	3	1	0	8
4	535.6506	286.5783	2010.0482	352.8061	171.6567	1663.439	83	3	1	0	12
5	689.9981	302.6288	2258.0582	635.5049	156.4518	1850.7885	361	3	1	0	47
6	849.9371	290.0776	2309.9224	568.8806	134.6297	1956.7688	116	3	1	0	13
7	382.5324	305.1127	2200.9014	191.2228	228.8513	1568.5099	71	3	1	0	14
8	891.01	282.6362	2239.9043	755.647	153.7273	1787.0065	470	3	1	0	60
9	523.5432	332.0049	1978.3155	287.5045	173.0544	1369.7148	206	3	1	0	30
10	968.2677	290.5127	2234.0822	766.1554	168.5813	1825.5879	353	3	1	0	50
