domainvalue,cv,val
1,1,0.0204223928758633
2,1,0.010374988202869
3,1,0.039396800893406
1,2,0.0111166818819473
2,2,0.00823133600995513
3,2,0.030239199487743
1,3,0.014477068059573
2,3,0.0130335290184794
3,3,0.0413512896451202
