STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	156.7683	324.2381	1984.5238	80.9494	185.6402	1475.1911	42	2	1	0	5
2	215.6453	305.7984	2125.0484	139.4141	159.4952	2030.1258	124	2	1	0	24
3	270.3391	306.2217	2204.3205	177.9494	184.8986	1704.6721	699	2	1	0	171
4	337.6018	311.3029	2164.8678	239.131	170.5874	1744.6626	1641	2	1	0	540
5	559.8679	303.8688	2272.4133	527.7241	165.795	1747.0066	663	2	1	0	481
6	204.095	318.1396	2243.4318	122.3538	179.1587	1699.5144	308	2	1	0	52
7	280.236	303.5095	2135.7123	195.4123	165.3992	1717.9912	577	2	1	0	155
8	556.6834	299.1779	2177.2727	563.6413	168.9033	1727.0764	1771	2	1	0	1372
9	198.6877	294.0613	2260.4065	123.8493	176.1911	1778.8555	310	2	1	0	53
10	276.5668	295.8304	2016.2329	198.714	162.4041	1554.4879	395	2	1	0	108
11	321.106	311.3377	2112.8262	242.5886	183.8325	1875.2458	305	2	1	0	102
