STRATO	N	M1	M2	M3	S1	S2	S3	COST	CENS	DOM1	X1	X2	X3	LABEL	STRATUM
3*5*1	387	203.651102176951	303.286821705426	2217.38759689922	254.347198200475	159.920855447972	1828.09983376823	1	0	1	3	5	1	11	3*5*1
4*1*1	39	70.6230372739231	258.820512820513	1717.05128205128	54.6282939821181	151.249983563444	1163.83699952902	1	0	1	4	1	1	4	4*1*1
4*2*1	224	106.54891436254	305.727678571429	2146.54017857143	99.3718901624802	169.675062203898	1773.118514438	1	0	1	4	2	1	9	4*2*1
4*3*1	312	126.152846585266	299.721153846154	2220.88461538462	112.945554944184	175.069754782756	1756.23180878083	1	0	1	4	3	1	10	4*3*1
4*4*1	240	135.902872477521	281.083333333333	2238.14583333333	164.593601200607	161.036542609296	1696.5328515041	1	0	1	4	4	1	5	4*4*1
4*5*1	212	248.889291220755	295.245283018868	2252.93396226415	328.984928720656	176.602437605816	1679.11133430678	1	0	1	4	5	1	7	4*5*1
5*1*1	22	89.9188218540909	317.409090909091	3099.04545454545	82.6501901224368	126.654741536663	1955.18058866631	1	0	1	5	1	1	9	5*1*1
5*2*1	120	93.5562636423667	288.608333333333	2213.475	73.2043494854946	141.585503956286	1732.31811437016	1	0	1	5	2	1	4	5*2*1
5*3*1	188	145.123771519819	290.606382978723	2171.8085106383	126.111152538838	159.979301725361	1664.28645355961	1	0	1	5	3	1	6	5*3*1
5*4*1	181	152.865199838729	310.408839779006	2211.68508287293	136.764703024351	170.781915565698	1687.83189746102	1	0	1	5	4	1	5	5*4*1
5*5*1	113	203.088075367699	294.911504424779	2455.76991150442	240.631017192411	154.972481572179	1893.10071074985	1	0	1	5	5	1	6	5*5*1
1*1*2	11	176.727272727273	289.272727272727	2533	69.0192738681686	258.93842402783	1120.54126531455	1	0	2	1	1	2	1	1*1*2
1*2*2	111	221.932023363063	302.189189189189	2128.65765765766	144.067905142492	146.96684148385	2103.07084995224	1	0	2	1	2	2	2	1*2*2
1*3*2	257	282.249360792335	309.097276264591	2303.55252918288	185.767338627223	190.677213834925	1730.29927410838	1	0	2	1	3	2	3	1*3*2
1*4*2	304	333.72304635625	297.424342105263	2152.19736842105	248.083594375105	160.558321301142	1772.2252071139	1	0	2	1	4	2	4	1*4*2
1*5*2	328	556.451829268293	309.582317073171	2318.01829268293	558.163646939629	175.114455406149	1782.27524486143	1	0	2	1	5	2	5	1*5*2
2*1*2	31	149.686148349677	336.645161290323	1789.90322580645	85.9543171939789	159.028816294629	1574.3836962103	1	0	2	2	1	2	6	2*1*2
2*2*2	208	203.882353329856	325.759615384615	2173.19711538462	121.705889943095	192.780714164302	1502.00121779608	1	0	2	2	2	2	7	2*2*2
2*3*2	577	280.235979167244	303.509532062392	2135.712305026	195.581833258308	165.542751040745	1719.48185952587	1	0	2	2	3	2	8	2*3*2
2*4*2	641	336.641018379719	316.709828393136	2127.75663026521	239.244182883873	175.715555264925	1694.30792595309	1	0	2	2	4	2	9	2*4*2
2*5*2	845	560.775503307219	297.68875739645	2197.50887573965	564.829053499083	167.757535455211	1786.31581495256	1	0	2	2	5	2	5	2*5*2
3*1*2	29	169.01724137931	339.379310344828	2306.34482758621	80.2469510387199	113.732721701941	1902.26950256904	1	0	2	3	1	2	10	3*1*2
3*2*2	187	201.246875869198	295.850267379679	2271.47593582888	125.666887662837	169.597791068229	1753.74865521762	1	0	2	3	2	2	7	3*2*2
3*3*2	442	263.413890093213	304.549773755656	2146.6221719457	173.286445806128	181.865505256525	1690.83111903083	1	0	2	3	3	2	11	3*3*2
3*4*2	521	344.109950650134	316.462571976967	2197.22840690979	239.838457202866	170.989058702807	1775.79973701644	1	0	2	3	4	2	4	3*4*2
3*5*2	711	551.034382307595	300.907172995781	2155.75668073136	571.010396177364	170.378522387309	1668.51504463016	1	0	2	3	5	2	12	3*5*2
4*1*2	13	161.966281241538	336.615384615385	2094.23076923077	84.2328683803386	252.436904062271	1429.49249487341	1	0	2	4	1	2	10	4*1*2
4*2*2	113	202.835597061239	275.530973451327	2125.2389380531	123.034599573729	177.958087478632	1751.1785880753	1	0	2	4	2	2	2	4*2*2
4*3*2	232	278.217669232112	298.556034482759	2006.19396551724	217.278686133668	171.993349805677	1613.163143875	1	0	2	4	3	2	11	4*3*2
4*4*2	305	321.105959874754	311.337704918033	2112.8262295082	242.987306973637	184.134628370723	1878.32750491107	1	0	2	4	4	2	13	4*4*2
4*5*2	335	563.212537313433	298.274626865672	2227.76119402985	497.771547334069	156.456476560405	1715.92575674858	1	0	2	4	5	2	14	4*5*2
5*1*2	10	103.960109321	470	3580.8	57.0916597862388	204.815526755175	2258.05530490287	1	0	2	5	1	2	11	5*1*2
5*2*2	71	219.045695590141	287.140845070423	2423.49295774648	136.95040089328	157.549839713191	2130.90696073351	1	0	2	5	2	2	1	5*2*2
5*3*2	163	274.217171016564	291.950920245399	2030.52147239264	170.156373115648	148.669262924173	1476.78343606082	1	0	2	5	3	2	11	5*3*2
5*4*2	175	328.482857142857	300.245714285714	2226.46857142857	222.374750218396	167.222698976728	1800.5728795932	1	0	2	5	4	2	4	5*4*2
5*5*2	215	559.281395348837	299.311627906977	2168.89302325581	537.53039955389	169.618342044176	1691.23229950281	1	0	2	5	5	2	15	5*5*2
1*1*3	3	207.2	186.333333333333	2225.66666666667	72.8021977690234	91.5144190217525	1836.71451843291	1	0	3	1	1	3	1	1*1*3
1*2*3	18	229.555555555556	218.777777777778	2147.27777777778	121.231991662552	125.31318790027	1274.936068356	1	0	3	1	2	3	2	1*2*3
1*3*3	44	456.745454545455	319.613636363636	2217.45454545455	258.126970566588	220.585503511686	1716.48403131287	1	0	3	1	3	3	1	1*3*3
1*4*3	81	545.613580246914	282.962962962963	2003.28395061728	353.465098335752	171.988331821025	1690.7423910674	1	0	3	1	4	3	3	1*4*3
1*5*3	189	964.014814814815	299.201058201058	2312.43915343915	755.418962904673	161.039782126814	1880.38873127054	1	0	3	1	5	3	4	1*5*3
2*1*3	5	236.98	245.8	1092.4	104.376403463618	29.1849276168367	891.795851078037	1	0	3	2	1	3	5	2*1*3
2*2*3	34	340.514705882353	315.264705882353	2023.97058823529	142.000957188889	219.502553760239	1440.69708383485	1	0	3	2	2	3	1	2*2*3
2*3*3	111	380.691891891892	304.846846846847	2106.28828828829	225.058502158257	154.657552437938	1764.18651026925	1	0	3	2	3	3	6	2*3*3
2*4*3	139	515.882506201439	315.079136690647	2273.23021582734	303.316676576016	181.488611321875	1946.22060354117	1	0	3	2	4	3	6	2*4*3
2*5*3	447	919.939422991946	284.015659955257	2219.66666666667	763.745920766804	154.408729297205	1777.83409143658	1	0	3	2	5	3	3	2*5*3
3*1*3	4	227.05	350.5	2706.25	69.8949747835994	148.041379350505	2651.64226235365	1	0	3	3	1	3	6	3*1*3
3*2*3	23	328.773913043478	255.826086956522	2633.21739130435	161.135371706906	143.992648415576	1994.12419386735	1	0	3	3	2	3	3	3*2*3
3*3*3	93	420.79247311828	316.032258064516	2043.61290322581	234.216909500647	171.704951464035	1679.29964301083	1	0	3	3	3	3	7	3*3*3
3*4*3	139	521.653272357482	327.237410071942	2023.1654676259	287.743122549204	176.945001524528	1463.41794950131	1	0	3	3	4	3	6	3*4*3
3*5*3	352	970.102556818182	290.005681818182	2221.82386363636	767.559068255016	168.791493119574	1816.1955609369	1	0	3	3	5	3	8	3*5*3
4*1*3	2	132.15	433	2284	50.15	188	906	1	0	3	4	1	3	6	4*1*3
4*2*3	18	318.644444444444	283.666666666667	2243.72222222222	109.179822221173	122.129712464521	1571.07428940821	1	0	3	4	2	3	7	4*2*3
4*3*3	37	421.143243243243	295.783783783784	2363.48648648649	224.573101973549	242.771512547502	1700.80352427779	1	0	3	4	3	3	1	4*3*3
4*4*3	67	527.464179104478	341.89552238806	1885.26865671642	291.29621211831	166.91611391483	1168.27408844586	1	0	3	4	4	3	5	4*4*3
4*5*3	174	938.86091954023	277.609195402299	2225.65517241379	625.921452943041	148.965656484964	1807.15616323972	1	0	3	4	5	3	2	4*5*3
5*1*3	1	322.4	469	6549	0	0	0	1	0	3	5	1	3	4	5*1*3
5*2*3	5	247.7	240.8	3459.2	93.4321143932856	87.4537592102249	2810.5677291252	1	0	3	5	2	3	4	5*2*3
5*3*3	17	391.147058823529	332.529411764706	2414.52941176471	216.710997895807	194.871939140452	2086.48720038495	1	0	3	5	3	3	7	5*3*3
5*4*3	39	461.279487179487	316.769230769231	2387.12820512821	258.179770582822	160.926717123117	2063.77329528528	1	0	3	5	4	3	6	5*4*3
5*5*3	106	907.257547169811	294.490566037736	2313.14150943396	564.182583343992	139.540434748743	1940.45168559437	1	0	3	5	5	3	3	5*5*3
