STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	405.7475	307.5	2207.7034	220.6084	223.1976	1615.9244	118	3	1	0	22
2	872.3635	272.0938	2218.3073	630.1225	147.2388	1757.008	192	3	1	0	24
3	851.0483	284.589	2222.5479	698.3671	153.7477	1800.495	657	3	1	0	84
4	942.3574	298.5744	2363.5692	751.7649	159.357	1922.009	195	3	1	0	26
5	507.2917	335.2222	1830.2083	289.5522	161.8125	1155.8257	72	3	1	0	10
6	473.8172	317.3779	2164.7189	280.9366	170.6944	1765.1945	434	3	1	0	62
7	402.4906	313.6719	2121.0156	219.3891	167.6197	1707.8693	128	3	1	0	18
8	970.1026	290.0057	2221.8239	766.468	168.5516	1813.6139	352	3	1	0	50
