STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	375.4243	300.2973	2201.9054	190.8475	225.8868	1565.7856	74	3	1	0	14
2	281.137	239.6957	2532.8478	144.5884	129.1748	1829.1838	46	3	1	0	5
3	438.4639	323.2131	2272.377	245.2585	210.4616	1796.2747	61	3	1	0	11
4	889.3853	289.1037	2191.0069	726.3521	169.0465	1801.6035	434	3	1	0	61
5	943.6207	297.5085	2312.6915	691.1649	153.1763	1895.6722	295	3	1	0	38
6	476.0692	321.1224	2011.5527	270.7635	172.7477	1540.5953	237	3	1	0	34
7	721.4688	288.2175	2179.1649	575.715	151.2563	1785.2321	285	3	1	0	36
8	515.8825	315.0791	2273.2302	302.2236	180.8346	1939.2072	139	3	1	0	21
9	890.9525	284.5693	2224.7399	756.5026	152.9414	1772.6116	469	3	1	0	60
10	496.2435	334.5093	2073.8796	280.7713	163.6844	1548.7408	108	3	1	0	15
