STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	122.9197	297.0878	2175.102	108.7741	175.4993	1720.0198	353	1	1	0	106
2	99.4317	305.5354	2139.6566	88.2452	172.7439	1687.6342	495	1	1	0	144
3	128.1255	299.183	2183.1203	117.3111	165.7121	1767.0764	1612	1	1	0	464
4	141.9824	281.8058	2232.314	160.0227	158.8267	1742.4593	726	1	1	0	213
5	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	108
6	84.5055	290.364	2271.7544	63.4681	146.2347	1883.6911	228	1	1	0	56
7	102.2371	287.3394	2147.7414	96.8647	160.4883	1690.9406	495	1	1	0	136
8	148.0248	302.2329	2224.582	150.2042	169.1846	1740.0774	1378	1	1	0	420
9	239.589	299.852	2114.5575	325.0671	173.9983	1657.2155	635	1	1	0	254
10	102.6405	298.708	2111.0608	86.7309	167.5411	1651.84	411	1	1	0	116
11	203.6511	303.2868	2217.3876	254.0184	159.7141	1825.7364	387	1	1	0	132
12	89.9188	317.4091	3099.0455	80.7499	123.7427	1910.2279	22	1	1	0	5
13	203.0881	294.9115	2455.7699	239.5639	154.2852	1884.7055	113	1	1	0	37
1	156.7683	324.2381	1984.5238	80.9494	185.6402	1475.1911	42	2	1	0	5
2	221.932	302.1892	2128.6577	143.4175	146.3033	2093.5761	111	2	1	0	22
3	280.3366	304.0961	2162.4744	200.928	181.7576	1678.9074	489	2	1	0	135
4	340.2825	309.4473	2180.6352	242.6637	167.274	1772.4655	825	2	1	0	275
5	556.6472	300.8037	2199.2663	562.657	169.8879	1736.1342	2099	2	1	0	1622
6	203.8824	325.7596	2173.1971	121.413	192.3167	1498.3863	208	2	1	0	35
7	280.236	303.5095	2135.7123	195.4123	165.3992	1717.9912	577	2	1	0	155
8	331.1407	312.678	2139.1044	237.5104	176.626	1760.7904	1121	2	1	0	366
9	166.8348	338.5238	2240.6905	79.5667	163.8048	1733.7467	42	2	1	0	5
10	198.6877	294.0613	2260.4065	123.8493	176.1911	1778.8555	310	2	1	0	53
11	263.4139	304.5498	2146.6222	173.0903	181.6597	1688.9173	442	2	1	0	106
12	563.2125	298.2746	2227.7612	497.028	156.2228	1713.3628	335	2	1	0	229
13	219.0457	287.1408	2423.493	135.9825	156.4364	2115.8474	71	2	1	0	14
14	274.2172	291.9509	2030.5215	169.6336	148.2125	1472.2465	163	2	1	0	38
1	878.9865	286.0286	2233.0593	745.2743	154.7007	1797.1067	489	3	1	0	63
2	928.1038	288.3109	2239.3403	724.587	161.4258	1822.8415	476	3	1	0	64
3	430.4388	310.6941	2304.0235	239.9616	224.8627	1725.352	85	3	1	0	16
4	501.389	313.5947	2113.6686	302.9834	181.0916	1710.9688	338	3	1	0	51
5	952.0078	301.4792	2334.2083	753.6514	160.9629	1886.6609	192	3	1	0	26
6	919.2553	276.7207	2194	626.3109	146.6064	1791.3649	179	3	1	0	22
7	448.6889	316.9534	2055.6093	261.0251	168.125	1617.8557	343	3	1	0	48
8	315.9978	265.087	2570.587	134.8096	127.811	1905.3873	46	3	1	0	5
