STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	139.2632	276.8614	2212.6844	166.4147	159.5521	1788.0231	339	1	1	0	101
2	121.4878	300.1852	2172.6197	111.8205	165.2052	1740.1787	1307	1	1	0	373
3	134.9033	309.7915	2313.3097	119.2511	167.7684	1820.7376	494	1	1	0	144
4	297.1671	310.3302	1983.3821	515.5107	147.8826	1627.5204	212	1	1	0	109
5	73.434	283.4286	2172.1633	50.4261	151.8778	1869.0216	147	1	1	0	37
6	104.9409	289.7785	2184.5768	99.2158	161.1752	1724.4494	456	1	1	0	126
7	147.2929	300.9967	2226.5322	152.171	168.9795	1748.514	1197	1	1	0	365
8	234.9279	302.1608	2045.2057	323.3808	172.8456	1643.7792	423	1	1	0	169
9	87.9401	293.8398	2167.9563	66.2515	162.9281	1601.156	206	1	1	0	56
10	102.6405	298.708	2111.0608	86.7309	167.5411	1651.84	411	1	1	0	116
11	131.5408	294.6759	2114.1457	122.8229	165.5893	1714.5045	611	1	1	0	177
12	203.5239	301.394	2271.262	250.8246	158.5421	1841.9291	500	1	1	0	169
13	126.1528	299.7212	2220.8846	112.7644	174.789	1753.4151	312	1	1	0	94
14	135.9029	281.0833	2238.1458	164.2503	160.7007	1692.9947	240	1	1	0	72
15	248.8893	295.2453	2252.934	328.2081	176.1854	1675.1465	212	1	1	0	86
