STRATO	M1	M2	M3	S1	S2	S3	N	DOM1	COST	CENS	SOLUZ
1	156.7683	324.2381	1984.5238	80.9494	185.6402	1475.1911	42	2	1	0	5
2	221.932	302.1892	2128.6577	143.4175	146.3033	2093.5761	111	2	1	0	22
3	280.3366	304.0961	2162.4744	200.928	181.7576	1678.9074	489	2	1	0	135
4	340.2825	309.4473	2180.6352	242.6637	167.274	1772.4655	825	2	1	0	275
5	556.6472	300.8037	2199.2663	562.657	169.8879	1736.1342	2099	2	1	0	1622
6	203.8824	325.7596	2173.1971	121.413	192.3167	1498.3863	208	2	1	0	35
7	280.236	303.5095	2135.7123	195.4123	165.3992	1717.9912	577	2	1	0	155
8	331.1407	312.678	2139.1044	237.5104	176.626	1760.7904	1121	2	1	0	366
9	166.8348	338.5238	2240.6905	79.5667	163.8048	1733.7467	42	2	1	0	5
10	198.6877	294.0613	2260.4065	123.8493	176.1911	1778.8555	310	2	1	0	53
11	263.4139	304.5498	2146.6222	173.0903	181.6597	1688.9173	442	2	1	0	106
12	563.2125	298.2746	2227.7612	497.028	156.2228	1713.3628	335	2	1	0	229
13	219.0457	287.1408	2423.493	135.9825	156.4364	2115.8474	71	2	1	0	14
14	274.2172	291.9509	2030.5215	169.6336	148.2125	1472.2465	163	2	1	0	38
