"","Uk","PO","Pik","Estrato","ID_unit","Prob","Stratum"
"11",765,12,0.0293963254593176,"1",11,0.0293963254593176,1
"27",1001,20,0.0293963254593176,"1",27,0.0293963254593176,1
"61",561,8,0.0293963254593176,"1",61,0.0293963254593176,1
"66",149,17,0.0293963254593176,"1",66,0.0293963254593176,1
"89",641,18,0.0293963254593176,"1",89,0.0293963254593176,1
"144",2990,13,0.0293963254593176,"1",144,0.0293963254593176,1
"145",388,14,0.0293963254593176,"1",145,0.0293963254593176,1
"159",2628,9,0.0293963254593176,"1",159,0.0293963254593176,1
"265",223,20,0.0293963254593176,"1",265,0.0293963254593176,1
"362",736,16,0.0293963254593176,"1",362,0.0293963254593176,1
"387",1101,17,0.0293963254593176,"1",387,0.0293963254593176,1
"443",1061,19,0.0293963254593176,"1",443,0.0293963254593176,1
"459",1197,23,0.0293963254593176,"1",459,0.0293963254593176,1
"465",3609,20,0.0293963254593176,"1",465,0.0293963254593176,1
"513",2344,13,0.0293963254593176,"1",513,0.0293963254593176,1
"553",2020,17,0.0293963254593176,"1",553,0.0293963254593176,1
"556",2023,23,0.0293963254593176,"1",556,0.0293963254593176,1
"608",1225,20,0.0293963254593176,"1",608,0.0293963254593176,1
"626",1000,21,0.0293963254593176,"1",626,0.0293963254593176,1
"715",2546,9,0.0293963254593176,"1",715,0.0293963254593176,1
"727",2194,11,0.0293963254593176,"1",727,0.0293963254593176,1
"728",1345,18,0.0293963254593176,"1",728,0.0293963254593176,1
"756",3680,19,0.0293963254593176,"1",756,0.0293963254593176,1
"885",1502,22,0.0293963254593176,"1",885,0.0293963254593176,1
"886",168,18,0.0293963254593176,"1",886,0.0293963254593176,1
"889",1627,21,0.0293963254593176,"1",889,0.0293963254593176,1
"927",208,14,0.0293963254593176,"1",927,0.0293963254593176,1
"966",490,12,0.0293963254593176,"1",966,0.0293963254593176,1
"1016",661,22,0.0293963254593176,"1",1016,0.0293963254593176,1
"1057",703,15,0.0293963254593176,"1",1057,0.0293963254593176,1
