"","Uk","PO","Pik","Estrato","ID_unit","Prob","Stratum"
"2002",97,29,0.048440065681445,"2",2002,0.048440065681445,2
"2024",119,34,0.048440065681445,"2",2024,0.048440065681445,2
"2043",3052,29,0.048440065681445,"2",2043,0.048440065681445,2
"2050",145,26,0.048440065681445,"2",2050,0.048440065681445,2
"2066",1254,32,0.048440065681445,"2",2066,0.048440065681445,2
"2130",2411,42,0.048440065681445,"2",2130,0.048440065681445,2
"2136",2417,28,0.048440065681445,"2",2136,0.048440065681445,2
"2143",238,40,0.048440065681445,"2",2143,0.048440065681445,2
"2186",1374,41,0.048440065681445,"2",2186,0.048440065681445,2
"2200",295,38,0.048440065681445,"2",2200,0.048440065681445,2
"2232",1420,28,0.048440065681445,"2",2232,0.048440065681445,2
"2262",1450,39,0.048440065681445,"2",2262,0.048440065681445,2
"2268",1456,36,0.048440065681445,"2",2268,0.048440065681445,2
"2293",2937,29,0.048440065681445,"2",2293,0.048440065681445,2
"2300",2581,32,0.048440065681445,"2",2300,0.048440065681445,2
"2330",1517,25,0.048440065681445,"2",2330,0.048440065681445,2
"2377",3750,37,0.048440065681445,"2",2377,0.048440065681445,2
"2401",496,26,0.048440065681445,"2",2401,0.048440065681445,2
"2419",514,33,0.048440065681445,"2",2419,0.048440065681445,2
"2439",3082,28,0.048440065681445,"2",2439,0.048440065681445,2
"2442",2723,24,0.048440065681445,"2",2442,0.048440065681445,2
"2447",906,28,0.048440065681445,"2",2447,0.048440065681445,2
"2455",1643,24,0.048440065681445,"2",2455,0.048440065681445,2
"2477",1665,27,0.048440065681445,"2",2477,0.048440065681445,2
"2486",1066,30,0.048440065681445,"2",2486,0.048440065681445,2
"2493",588,44,0.048440065681445,"2",2493,0.048440065681445,2
"2507",3881,26,0.048440065681445,"2",2507,0.048440065681445,2
"2521",980,31,0.048440065681445,"2",2521,0.048440065681445,2
"2532",3906,32,0.048440065681445,"2",2532,0.048440065681445,2
"2542",3916,32,0.048440065681445,"2",2542,0.048440065681445,2
"2563",3937,27,0.048440065681445,"2",2563,0.048440065681445,2
"2568",2120,27,0.048440065681445,"2",2568,0.048440065681445,2
"2569",3943,36,0.048440065681445,"2",2569,0.048440065681445,2
"2596",2147,24,0.048440065681445,"2",2596,0.048440065681445,2
"2613",708,36,0.048440065681445,"2",2613,0.048440065681445,2
"2656",3057,24,0.048440065681445,"2",2656,0.048440065681445,2
"2657",1966,28,0.048440065681445,"2",2657,0.048440065681445,2
"2674",3319,25,0.048440065681445,"2",2674,0.048440065681445,2
"2691",2971,44,0.048440065681445,"2",2691,0.048440065681445,2
"2709",1896,34,0.048440065681445,"2",2709,0.048440065681445,2
"2725",820,32,0.048440065681445,"2",2725,0.048440065681445,2
"2730",1918,25,0.048440065681445,"2",2730,0.048440065681445,2
"2751",846,39,0.048440065681445,"2",2751,0.048440065681445,2
"2813",3092,27,0.048440065681445,"2",2813,0.048440065681445,2
"2824",959,44,0.048440065681445,"2",2824,0.048440065681445,2
"2900",3909,26,0.048440065681445,"2",2900,0.048440065681445,2
"2911",3795,25,0.048440065681445,"2",2911,0.048440065681445,2
"2957",2145,35,0.048440065681445,"2",2957,0.048440065681445,2
"3004",3579,24,0.048440065681445,"2",3004,0.048440065681445,2
"3029",2390,34,0.048440065681445,"2",3029,0.048440065681445,2
"3041",3361,44,0.048440065681445,"2",3041,0.048440065681445,2
"3091",1662,29,0.048440065681445,"2",3091,0.048440065681445,2
"3103",1379,32,0.048440065681445,"2",3103,0.048440065681445,2
"3114",1378,28,0.048440065681445,"2",3114,0.048440065681445,2
"3131",967,72,0.0897226753670473,"3",3131,0.0897226753670473,3
"3138",2179,58,0.0897226753670473,"3",3138,0.0897226753670473,3
"3154",1489,71,0.0897226753670473,"3",3154,0.0897226753670473,3
"3160",1527,50,0.0897226753670473,"3",3160,0.0897226753670473,3
"3162",2497,55,0.0897226753670473,"3",3162,0.0897226753670473,3
"3175",425,49,0.0897226753670473,"3",3175,0.0897226753670473,3
"3177",115,68,0.0897226753670473,"3",3177,0.0897226753670473,3
"3209",2941,48,0.0897226753670473,"3",3209,0.0897226753670473,3
"3227",1391,56,0.0897226753670473,"3",3227,0.0897226753670473,3
"3253",2280,61,0.0897226753670473,"3",3253,0.0897226753670473,3
"3255",3509,49,0.0897226753670473,"3",3255,0.0897226753670473,3
"3264",1724,45,0.0897226753670473,"3",3264,0.0897226753670473,3
"3269",2782,56,0.0897226753670473,"3",3269,0.0897226753670473,3
"3271",1438,68,0.0897226753670473,"3",3271,0.0897226753670473,3
"3289",1735,79,0.0897226753670473,"3",3289,0.0897226753670473,3
"3291",2845,58,0.0897226753670473,"3",3291,0.0897226753670473,3
"3299",2234,71,0.0897226753670473,"3",3299,0.0897226753670473,3
"3325",1611,56,0.0897226753670473,"3",3325,0.0897226753670473,3
"3346",1805,47,0.0897226753670473,"3",3346,0.0897226753670473,3
"3356",1829,46,0.0897226753670473,"3",3356,0.0897226753670473,3
"3364",1433,63,0.0897226753670473,"3",3364,0.0897226753670473,3
"3365",315,77,0.0897226753670473,"3",3365,0.0897226753670473,3
"3379",101,47,0.0897226753670473,"3",3379,0.0897226753670473,3
"3395",8,56,0.0897226753670473,"3",3395,0.0897226753670473,3
"3400",1008,58,0.0897226753670473,"3",3400,0.0897226753670473,3
"3430",299,59,0.0897226753670473,"3",3430,0.0897226753670473,3
"3440",562,45,0.0897226753670473,"3",3440,0.0897226753670473,3
"3457",1141,56,0.0897226753670473,"3",3457,0.0897226753670473,3
"3469",2089,45,0.0897226753670473,"3",3469,0.0897226753670473,3
"3475",2850,62,0.0897226753670473,"3",3475,0.0897226753670473,3
"3477",141,49,0.0897226753670473,"3",3477,0.0897226753670473,3
"3501",3493,56,0.0897226753670473,"3",3501,0.0897226753670473,3
"3502",3211,50,0.0897226753670473,"3",3502,0.0897226753670473,3
"3518",1719,51,0.0897226753670473,"3",3518,0.0897226753670473,3
"3527",3655,67,0.0897226753670473,"3",3527,0.0897226753670473,3
"3542",369,56,0.0897226753670473,"3",3542,0.0897226753670473,3
"3546",3705,68,0.0897226753670473,"3",3546,0.0897226753670473,3
"3569",3209,53,0.0897226753670473,"3",3569,0.0897226753670473,3
"3581",3371,73,0.0897226753670473,"3",3581,0.0897226753670473,3
"3585",1707,62,0.0897226753670473,"3",3585,0.0897226753670473,3
"3590",3815,77,0.0897226753670473,"3",3590,0.0897226753670473,3
"3617",288,56,0.0897226753670473,"3",3617,0.0897226753670473,3
"3622",1213,60,0.0897226753670473,"3",3622,0.0897226753670473,3
"3635",3938,74,0.0897226753670473,"3",3635,0.0897226753670473,3
"3642",85,59,0.0897226753670473,"3",3642,0.0897226753670473,3
"3659",2071,69,0.0897226753670473,"3",3659,0.0897226753670473,3
"3677",524,48,0.0897226753670473,"3",3677,0.0897226753670473,3
"3680",1784,48,0.0897226753670473,"3",3680,0.0897226753670473,3
"3684",83,63,0.0897226753670473,"3",3684,0.0897226753670473,3
"3691",2428,53,0.0897226753670473,"3",3691,0.0897226753670473,3
"3700",3848,52,0.0897226753670473,"3",3700,0.0897226753670473,3
"3703",1698,47,0.0897226753670473,"3",3703,0.0897226753670473,3
"3717",3645,46,0.0897226753670473,"3",3717,0.0897226753670473,3
"3730",1173,76,0.0897226753670473,"3",3730,0.0897226753670473,3
"3735",2268,74,0.0897226753670473,"3",3735,0.0897226753670473,3
"3750",1088,94,0.141414141414141,"4",3750,0.141414141414141,4
"3757",2540,115,0.141414141414141,"4",3757,0.141414141414141,4
"3761",1940,96,0.141414141414141,"4",3761,0.141414141414141,4
"3767",1096,102,0.141414141414141,"4",3767,0.141414141414141,4
"3774",2034,111,0.141414141414141,"4",3774,0.141414141414141,4
"3791",3170,118,0.141414141414141,"4",3791,0.141414141414141,4
"3795",1619,117,0.141414141414141,"4",3795,0.141414141414141,4
"3798",3108,115,0.141414141414141,"4",3798,0.141414141414141,4
"3812",3715,90,0.141414141414141,"4",3812,0.141414141414141,4
"3827",3392,115,0.141414141414141,"4",3827,0.141414141414141,4
"3829",2896,96,0.141414141414141,"4",3829,0.141414141414141,4
"3833",969,102,0.141414141414141,"4",3833,0.141414141414141,4
"3834",1821,101,0.141414141414141,"4",3834,0.141414141414141,4
"3836",3644,89,0.141414141414141,"4",3836,0.141414141414141,4
"3840",126,116,0.141414141414141,"4",3840,0.141414141414141,4
"3854",3891,120,0.141414141414141,"4",3854,0.141414141414141,4
"3855",978,108,0.141414141414141,"4",3855,0.141414141414141,4
"3857",23,86,0.141414141414141,"4",3857,0.141414141414141,4
"3859",3748,94,0.141414141414141,"4",3859,0.141414141414141,4
"3880",1380,102,0.141414141414141,"4",3880,0.141414141414141,4
"3884",899,130,0.141414141414141,"4",3884,0.141414141414141,4
"3889",3818,114,0.141414141414141,"4",3889,0.141414141414141,4
"3896",1760,95,0.141414141414141,"4",3896,0.141414141414141,4
"3911",2869,138,0.141414141414141,"4",3911,0.141414141414141,4
"3925",3247,83,0.141414141414141,"4",3925,0.141414141414141,4
"3926",2398,115,0.141414141414141,"4",3926,0.141414141414141,4
"3932",340,99,0.141414141414141,"4",3932,0.141414141414141,4
"3933",3619,112,0.141414141414141,"4",3933,0.141414141414141,4
"3935",2670,182,1,"5",3935,1,5
"3936",966,189,1,"5",3936,1,5
"3937",1818,184,1,"5",3937,1,5
"3938",1534,182,1,"5",3938,1,5
"3939",2954,181,1,"5",3939,1,5
"3940",3980,800,1,"5",3940,1,5
"3941",1436,607,1,"5",3941,1,5
"3942",682,180,1,"5",3942,1,5
"3943",398,187,1,"5",3943,1,5
"3944",584,606,1,"5",3944,1,5
"3945",2102,186,1,"5",3945,1,5
"3946",3977,600,1,"5",3946,1,5
"3947",2409,394,1,"5",3947,1,5
"3948",2386,187,1,"5",3948,1,5
"3949",989,396,1,"5",3949,1,5
"3950",868,606,1,"5",3950,1,5
"3951",2288,609,1,"5",3951,1,5
"3952",1250,187,1,"5",3952,1,5
"3953",3979,700,1,"5",3953,1,5
"3954",3978,650,1,"5",3954,1,5
"3955",3708,608,1,"5",3955,1,5
"3956",2977,390,1,"5",3956,1,5
"3957",1841,392,1,"5",3957,1,5
"3958",1720,608,1,"5",3958,1,5
"3959",3983,1200,1,"5",3959,1,5
"3960",3806,185,1,"5",3960,1,5
"3961",3984,1500,1,"5",3961,1,5
"3962",3238,183,1,"5",3962,1,5
"3963",2572,605,1,"5",3963,1,5
"3964",1152,605,1,"5",3964,1,5
"3965",705,392,1,"5",3965,1,5
"3966",16,607,1,"5",3966,1,5
"3967",1557,397,1,"5",3967,1,5
"3968",3261,396,1,"5",3968,1,5
"3969",114,185,1,"5",3969,1,5
"3970",421,393,1,"5",3970,1,5
"3971",3522,189,1,"5",3971,1,5
"3972",2004,600,1,"5",3972,1,5
"3973",300,604,1,"5",3973,1,5
"3974",3424,605,1,"5",3974,1,5
"3975",2693,395,1,"5",3975,1,5
"3976",3829,399,1,"5",3976,1,5
"3977",2125,398,1,"5",3977,1,5
"3978",137,394,1,"5",3978,1,5
"3979",3981,1080,1,"5",3979,1,5
"3980",3982,1190,1,"5",3980,1,5
"3981",1273,395,1,"5",3981,1,5
"3982",3140,601,1,"5",3982,1,5
"3983",3545,397,1,"5",3983,1,5
"3984",2856,606,1,"5",3984,1,5
